genus	id	trg	og	n	ortho	gamma
Bumblebees	Bimp12625	INSECTA	INS000000	2	GB40007	0.579396516
Honey bees	GB40007	INSECTA	INS000000	2	NA	0.919616535
Bumblebees	Bimp02157	INSECTA	INS000002	2	GB55781	-0.208298002
Honey bees	GB55781	INSECTA	INS000002	2	Bimp02157	0.092601929
Bumblebees	Bimp00173	INSECTA	INS000008	2	GB55650	0.632864005
Honey bees	GB55650	INSECTA	INS000008	2	Bimp00173	1.382404724
Bumblebees	Bimp08172	INSECTA	INS000009	2	GB46705	1.090225609
Honey bees	GB46705	INSECTA	INS000009	2	Bimp08172	0.301350086
Bumblebees	Bimp08274	INSECTA	INS000012	2	GB47452	-0.954868991
Honey bees	GB47452	INSECTA	INS000012	2	Bimp08274	-0.710081606
Bumblebees	Bimp02407	INSECTA	INS000013	2	GB44091	-0.020810151
Honey bees	GB44091	INSECTA	INS000013	2	Bimp02407	0.417388956
Bumblebees	Bimp10379	INSECTA	INS000016	2	GB52098	0.535142217
Honey bees	GB52098	INSECTA	INS000016	2	Bimp10379	-0.668377914
Bumblebees	Bimp03539	INSECTA	INS000027	2	GB42147	2.738045169
Honey bees	GB42147	INSECTA	INS000027	2	Bimp03539	1.355892102
Bumblebees	Bimp13682	INSECTA	INS000028	2	GB52252	-0.335707958
Honey bees	GB52252	INSECTA	INS000028	2	Bimp13682	0.017580394
Bumblebees	Bimp07367	INSECTA	INS000034	2	GB46325	0.030628566
Honey bees	GB46325	INSECTA	INS000034	2	Bimp07367	-0.481633106
Bumblebees	Bimp02072	INSECTA	INS000037	2	GB41850	0.783733886
Honey bees	GB41850	INSECTA	INS000037	2	Bimp02072	-0.890690041
Bumblebees	Bimp14022	INSECTA	INS000038	2	GB42359	-0.07129013
Honey bees	GB42359	INSECTA	INS000038	2	Bimp14022	1.089579845
Bumblebees	Bimp13963	INSECTA	INS000040	2	GB55375	0.873827058
Honey bees	GB55375	INSECTA	INS000040	2	Bimp13963	0.110071745
Bumblebees	Bimp05318	INSECTA	INS000042	2	GB40498	0.985826107
Honey bees	GB40498	INSECTA	INS000042	2	Bimp05318	0.201101663
Bumblebees	Bimp03915	INSECTA	INS000046	2	GB44262	2.301747955
Honey bees	GB44262	INSECTA	INS000046	2	Bimp03915	2.324347666
Bumblebees	Bimp14083	INSECTA	INS000057	2	GB53340	0.405184813
Honey bees	GB53340	INSECTA	INS000057	2	Bimp14083	0.454433529
Bumblebees	Bimp06437	INSECTA	INS000060	2	GB54468	0.76321321
Honey bees	GB54468	INSECTA	INS000060	2	Bimp06437	0.236039925
Bumblebees	Bimp03927	INSECTA	INS000062	2	GB46253	0.902377445
Honey bees	GB46253	INSECTA	INS000062	2	Bimp03927	-0.211832281
Bumblebees	Bimp00339	INSECTA	INS000064	2	GB49432	-0.539763993
Honey bees	GB49432	INSECTA	INS000064	2	Bimp00339	0.913739758
Bumblebees	Bimp08469	INSECTA	INS000067	2	GB53320	1.596327265
Honey bees	GB53320	INSECTA	INS000067	2	Bimp08469	4.765421988
Bumblebees	Bimp12643	INSECTA	INS000069	2	GB47938	0.712992816
Honey bees	GB47938	INSECTA	INS000069	2	Bimp12643	0.185735445
Bumblebees	Bimp00552	INSECTA	INS000071	2	GB54130	1.743870142
Honey bees	GB54130	INSECTA	INS000071	2	Bimp00552	0.944810898
Bumblebees	Bimp11529	INSECTA	INS000086	2	GB41634	1.887268474
Honey bees	GB41634	INSECTA	INS000086	2	Bimp11529	0.898486309
Bumblebees	Bimp11022	INSECTA	INS000089	2	GB49952	0.433223227
Honey bees	GB49952	INSECTA	INS000089	2	Bimp11022	2.635991973
Bumblebees	Bimp08827	INSECTA	INS000090	2	GB54884	0.568275659
Honey bees	GB54884	INSECTA	INS000090	2	Bimp08827	-0.134182158
Bumblebees	Bimp12963	INSECTA	INS000097	2	GB42022	0.063053041
